When	WRB
newspapers	NNS
and	CC
radio	NN
describe	VBP
the	DT
damage	NN
caused	VBN
by	IN
a	DT
hurricane	NN
named	VBN
Hazel	PERSON
,	,
girls	NNS
named	VBN
Hazel	PERSON
are	VBP
probably	RB
teased	VBN
by	IN
their	PRP$
friends	NNS
.	.
To	TO
keep	VB
out	IN
of	IN
trouble	NN
,	,
the	DT
Weather	ORGANIZATION
Bureau	ORGANIZATION
says	VBZ
,	,
''	''
Any	NNP
_	NNP
between	IN
hurricane	NN
names	NNS
and	CC
the	DT
names	NNS
of	IN
particular	JJ
girls	NNS
is	VBZ
purely	RB
accidental	JJ
.	.
''	''
Some	DT
women	NNS
became	VBD
angry	JJ
because	IN
hurricanes	NNS
are	VBP
given	VBN
their	PRP$
names	NNS
,	,
but	CC
many	JJ
other	JJ
women	NNS
are	VBP
proud	JJ
to	TO
see	VB
their	PRP$
names	NNS
make	VBP
headlines	NNS
.	.
They	PRP
do	VBP
n't	RB
even	RB
care	VB
that	IN
they	PRP
are	VBP
the	DT
names	NNS
of	IN
destructive	JJ
storms	NNS
.	.
Because	IN
more	JJR
women	NNS
seem	VBP
to	TO
like	IN
it	PRP
than	IN
dislike	IN
it	PRP
,	,
the	DT
Weather	ORGANIZATION
Bureau	ORGANIZATION
has	VBZ
decided	VBN
to	TO
continue	VB
using	VBG
girl	NN
's	POS
names	NNS
for	IN
hurricanes	NNS
.	.
In	IN
some	DT
ways	NNS
a	DT
hurricane	NN
is	VBZ
like	IN
a	DT
person	NN
.	.
After	IN
it	PRP
is	VBZ
born	VBN
,	,
it	PRP
grows	VBZ
and	CC
develops	VBZ
,	,
then	RB
becomes	VBZ
old	JJ
and	CC
dies	VBZ
.	.
Each	DT
hurricane	NN
has	VBZ
a	DT
character	NN
of	IN
its	PRP$
own	JJ
.	.
Each	DT
follows	VBZ
its	PRP$
own	JJ
path	NN
through	IN
the	DT
world	NN
,	,
and	CC
people	NNS
remember	VBP
it	PRP
long	RB
after	IN
it	PRP
gone	VBN
.	.
So	IN
it	PRP
is	VBZ
natural	JJ
to	TO
give	VB
hurricanes	NNS
'	POS
names	NNS
,	,
and	CC
to	TO
talk	VB
about	IN
them	PRP
almost	RB
if	IN
they	PRP
were	VBD
alive	JJ
.	.
