``	``
Gold	NNP
Rush	NNP
Alaska	NNP
''	''
has	VBZ
given	VBN
America	LOCATION
gold	NN
fever	NN
.	.
A	DT
lot	NN
of	IN
young	JJ
men	NNS
put	VBD
everything	NN
at	IN
risk	NN
to	TO
find	VB
gold	NN
in	IN
Alaska	LOCATION
.	.
They	PRP
face	VBP
problems	NNS
with	IN
their	PRP$
machines	NNS
and	CC
the	DT
Alaska	LOCATION
wild	JJ
animals	NNS
.	.
They	PRP
're	VBP
just	RB
ordinary	JJ
people	NNS
out	RP
trying	VBG
to	TO
realize	VB
a	DT
dream	NN
.	.
Todd	PERSON
Dorsey	PERSON
is	VBZ
one	CD
of	IN
them	PRP
.	.
He	PRP
spent	VBD
$	$
100,000	CD
on	IN
it	PRP
and	CC
prepared	VBD
for	IN
a	DT
year	NN
before	RB
going	VBG
to	TO
Alaska	LOCATION
.	.
He	PRP
brought	VBD
his	PRP$
family	NN
and	CC
friends	NNS
to	TO
help	VB
him	PRP
out	RP
.	.
He	PRP
must	MD
get	VB
them	PRP
mining	VBG
and	CC
a	DT
place	NN
to	TO
stay	VB
.	.
He	PRP
also	RB
had	VBD
to	TO
keep	VB
their	PRP$
spirits	NNS
up	RB
and	CC
kept	VBD
everyone	NN
working	VBG
as	IN
a	DT
team	NN
.	.
They	PRP
had	VBD
to	TO
run	VB
off	RP
bears	NNS
sometimes	RB
from	IN
their	PRP$
camp	NN
.	.
They	PRP
had	VBD
to	TO
face	VB
the	DT
fact	NN
that	IN
their	PRP$
lead	NN
mechanic	NN
's	POS
health	NN
was	VBD
not	RB
good	JJ
.	.
They	PRP
called	VBD
him	PRP
Harness	NNP
,	,
and	CC
he	PRP
was	VBD
on	IN
medication	NN
that	WDT
was	VBD
hard	RB
for	IN
him	PRP
to	TO
take	VB
,	,
because	IN
out	RP
in	IN
Alaska	LOCATION
it	PRP
was	VBD
not	RB
easy	JJ
to	TO
get	VB
to	TO
the	DT
hospital	NN
and	CC
so	RB
he	PRP
did	VBD
n't	RB
enjoy	VB
good	JJ
health	NN
.	.
He	PRP
was	VBD
the	DT
only	JJ
one	NN
who	WP
could	MD
keep	VB
things	NNS
running	VBG
the	DT
way	NN
they	PRP
were	VBD
supposed	VBN
to	TO
.	.
There	EX
was	VBD
one	CD
guy	NN
that	WDT
did	VBD
n't	RB
seem	VB
to	TO
get	VB
along	IN
with	IN
anyone	NN
.	.
But	CC
did	VBD
n't	RB
there	EX
always	RB
have	VBP
to	TO
be	VB
someone	NN
that	WDT
did	VBD
n't	RB
get	VB
along	RB
and	CC
messed	VBD
things	NNS
up	RP
?	.
They	PRP
got	VBD
excited	VBN
when	WRB
they	PRP
found	VBD
a	DT
few	JJ
small	JJ
pieces	NNS
of	IN
gold	NN
,	,
but	CC
they	PRP
needed	VBD
a	DT
lot	NN
more	JJR
to	TO
cover	VB
the	DT
cost	NN
of	IN
mining	VBG
every	DT
day	NN
.	.
It	PRP
cost	VBD
Todd	PERSON
$	$
1,000	CD
a	DT
day	NN
to	TO
run	VB
everything	NN
they	PRP
needed	VBD
to	TO
mine	VB
.	.
They	PRP
had	VBD
to	TO
make	VB
money	NN
before	IN
the	DT
Alaska	LOCATION
summer	NN
came	VBD
to	TO
an	DT
end	NN
or	CC
they	PRP
would	MD
go	VB
broke	RB
.	.
